,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum
10,2,2,0,3,1,1,10,3,,10,1,11,0,0.29,1,27,2,35.0,20.0,20.0,20.0,0.0,5.0,0,8.0,7.0,6.0,9.0,7.0,4.0,7.0,2.0,2,24,law,1.0,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
11,2,2,0,3,1,1,10,3,,9,2,12,0,0.18,1,22,2,60.0,0.0,0.0,40.0,0.0,0.0,0,7.0,6.0,10.0,6.0,6.0,5.0,8.0,4.0,2,24,law,1.0,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
12,2,2,0,3,1,1,10,3,,6,3,13,0,0.1,0,22,4,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2,24,law,1.0,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
13,2,2,0,3,1,1,10,3,,1,4,14,1,-0.21,1,23,2,30.0,5.0,15.0,40.0,5.0,5.0,1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,2,24,law,1.0,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
14,2,2,0,3,1,1,10,3,,3,5,15,0,0.32,0,24,3,30.0,10.0,20.0,10.0,10.0,20.0,1,10.0,10.0,10.0,10.0,7.0,8.0,10.0,1.0,1,24,law,1.0,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
15,2,2,0,3,1,1,10,3,,2,6,16,0,0.73,1,25,2,50.0,0.0,30.0,10.0,0.0,10.0,1,7.0,8.0,7.0,5.0,7.0,7.0,7.0,5.0,2,24,law,1.0,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
16,2,2,0,3,1,1,10,3,,7,7,17,0,0.6,1,30,2,35.0,15.0,25.0,10.0,5.0,10.0,0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,2,24,law,1.0,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
17,2,2,0,3,1,1,10,3,,8,8,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,2,24,law,1.0,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
18,2,2,0,3,1,1,10,3,,4,9,19,1,0.11,1,28,2,50.0,0.0,25.0,10.0,0.0,15.0,1,8.0,6.0,9.0,9.0,8.0,7.0,8.0,8.0,2,24,law,1.0,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
19,2,2,0,3,1,1,10,3,,5,10,20,0,0.39,1,24,2,100.0,0.0,0.0,0.0,0.0,0.0,0,6.0,5.0,7.0,7.0,9.0,7.0,6.0,9.0,2,24,law,1.0,,,,2,2,5,Alabama,"35,223","65,929.00",1,5,1,law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5
20,3,3,0,5,1,1,10,9,,6,1,11,0,-0.24,1,27,2,35.0,20.0,20.0,20.0,0.0,5.0,0,7.0,8.0,6.0,5.0,8.0,4.0,5.0,2.0,1,25,Economics,2.0,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
21,3,3,0,5,1,1,10,9,,5,2,12,0,-0.14,1,22,2,60.0,0.0,0.0,40.0,0.0,0.0,0,6.0,7.0,10.0,6.0,6.0,5.0,7.0,3.0,2,25,Economics,2.0,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
22,3,3,0,5,1,1,10,9,,2,3,13,0,0.09,0,22,4,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2,25,Economics,2.0,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
23,3,3,0,5,1,1,10,9,,7,4,14,0,-0.04,1,23,2,30.0,5.0,15.0,40.0,5.0,5.0,1,7.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,2,25,Economics,2.0,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
24,3,3,0,5,1,1,10,9,,9,5,15,0,-0.14,0,24,3,30.0,10.0,20.0,10.0,10.0,20.0,1,6.0,10.0,8.0,6.0,,,6.0,1.0,2,25,Economics,2.0,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
25,3,3,0,5,1,1,10,9,,8,6,16,0,-0.3,1,25,2,50.0,0.0,30.0,10.0,0.0,10.0,1,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,2,25,Economics,2.0,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
26,3,3,0,5,1,1,10,9,,3,7,17,0,-0.26,1,30,2,35.0,15.0,25.0,10.0,5.0,10.0,0,6.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,2,25,Economics,2.0,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
27,3,3,0,5,1,1,10,9,,4,8,18,0,0.29,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,4.0,5.0,6.0,4.0,6.0,4.0,5.0,1.0,2,25,Economics,2.0,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
28,3,3,0,5,1,1,10,9,,10,9,19,0,-0.15,1,28,2,50.0,0.0,25.0,10.0,0.0,15.0,1,7.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,2,25,Economics,2.0,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
29,3,3,0,5,1,1,10,9,,1,10,20,0,-0.47,1,24,2,100.0,0.0,0.0,0.0,0.0,0.0,0,5.0,6.0,8.0,5.0,8.0,6.0,5.0,5.0,2,25,Economics,2.0,,,,2,8,4,Connecticut,"6,268",,6,3,1,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2
30,4,4,0,7,1,1,10,6,,3,1,11,0,-0.18,1,27,2,35.0,20.0,20.0,20.0,0.0,5.0,0,6.0,7.0,8.0,7.0,7.0,5.0,6.0,3.0,2,23,Law,1.0,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
31,4,4,0,7,1,1,10,6,,2,2,12,0,-0.18,1,22,2,60.0,0.0,0.0,40.0,0.0,0.0,0,6.0,5.0,10.0,6.0,6.0,5.0,6.0,3.0,1,23,Law,1.0,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
32,4,4,0,7,1,1,10,6,,9,3,13,0,0.05,0,22,4,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,23,Law,1.0,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
33,4,4,0,7,1,1,10,6,,4,4,14,1,-0.18,1,23,2,30.0,5.0,15.0,40.0,5.0,5.0,1,7.0,7.0,7.0,9.0,9.0,9.0,8.0,10.0,1,23,Law,1.0,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
34,4,4,0,7,1,1,10,6,,6,5,15,0,0.21,0,24,3,30.0,10.0,20.0,10.0,10.0,20.0,1,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,2,23,Law,1.0,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
35,4,4,0,7,1,1,10,6,,5,6,16,0,0.37,1,25,2,50.0,0.0,30.0,10.0,0.0,10.0,1,6.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,2,23,Law,1.0,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
36,4,4,0,7,1,1,10,6,,10,7,17,0,0.35,1,30,2,35.0,15.0,25.0,10.0,5.0,10.0,1,7.0,6.0,3.0,5.0,6.0,5.0,6.0,4.0,2,23,Law,1.0,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
37,4,4,0,7,1,1,10,6,,1,8,18,0,0.15,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6.0,7.0,8.0,6.0,6.0,5.0,7.0,7.0,2,23,Law,1.0,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
38,4,4,0,7,1,1,10,6,,7,9,19,1,-0.47,1,28,2,50.0,0.0,25.0,10.0,0.0,15.0,1,7.0,7.0,7.0,10.0,9.0,10.0,8.0,8.0,2,23,Law,1.0,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
39,4,4,0,7,1,1,10,6,,8,10,20,0,-0.19,1,24,2,100.0,0.0,0.0,0.0,0.0,0.0,0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,2,23,Law,1.0,,,,2,1,1,Texas,"77,096","37,754.00",1,5,1,lawyer/policy work,1.0,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2
40,5,5,0,9,1,1,10,4,,1,1,11,0,-0.43,1,27,2,35.0,20.0,20.0,20.0,0.0,5.0,0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,2,21,Law,1.0,,,,2,8,1,Bowdoin College,"94,022","86,340.00",2,4,1,lawyer,1.0,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
41,5,5,0,9,1,1,10,4,,10,2,12,0,0.0,1,22,2,60.0,0.0,0.0,40.0,0.0,0.0,0,6.0,7.0,10.0,7.0,6.0,5.0,7.0,4.0,1,21,Law,1.0,,,,2,8,1,Bowdoin College,"94,022","86,340.00",2,4,1,lawyer,1.0,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
42,5,5,0,9,1,1,10,4,,7,3,13,0,-0.17,0,22,4,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,21,Law,1.0,,,,2,8,1,Bowdoin College,"94,022","86,340.00",2,4,1,lawyer,1.0,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
43,5,5,0,9,1,1,10,4,,2,4,14,1,0.08,1,23,2,30.0,5.0,15.0,40.0,5.0,5.0,1,6.0,8.0,6.0,8.0,10.0,10.0,7.0,7.0,1,21,Law,1.0,,,,2,8,1,Bowdoin College,"94,022","86,340.00",2,4,1,lawyer,1.0,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
44,5,5,0,9,1,1,10,4,,4,5,15,0,-0.16,0,24,3,30.0,10.0,20.0,10.0,10.0,20.0,0,5.0,9.0,9.0,7.0,9.0,5.0,5.0,7.0,2,21,Law,1.0,,,,2,8,1,Bowdoin College,"94,022","86,340.00",2,4,1,lawyer,1.0,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
45,5,5,0,9,1,1,10,4,,3,6,16,0,0.06,1,25,2,50.0,0.0,30.0,10.0,0.0,10.0,0,5.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,2,21,Law,1.0,,,,2,8,1,Bowdoin College,"94,022","86,340.00",2,4,1,lawyer,1.0,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
46,5,5,0,9,1,1,10,4,,8,7,17,0,-0.05,1,30,2,35.0,15.0,25.0,10.0,5.0,10.0,0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,2,21,Law,1.0,,,,2,8,1,Bowdoin College,"94,022","86,340.00",2,4,1,lawyer,1.0,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
47,5,5,0,9,1,1,10,4,,9,8,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,2,21,Law,1.0,,,,2,8,1,Bowdoin College,"94,022","86,340.00",2,4,1,lawyer,1.0,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
48,5,5,0,9,1,1,10,4,,5,9,19,1,-0.13,1,28,2,50.0,0.0,25.0,10.0,0.0,15.0,1,5.0,9.0,9.0,9.0,9.0,6.0,7.0,7.0,2,21,Law,1.0,,,,2,8,1,Bowdoin College,"94,022","86,340.00",2,4,1,lawyer,1.0,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
49,5,5,0,9,1,1,10,4,,6,10,20,0,-0.06,1,24,2,100.0,0.0,0.0,0.0,0.0,0.0,0,3.0,10.0,7.0,7.0,10.0,5.0,4.0,10.0,2,21,Law,1.0,,,,2,8,1,Bowdoin College,"94,022","86,340.00",2,4,1,lawyer,1.0,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10
50,6,6,0,11,1,1,10,8,,5,1,11,0,0.33,0,27,2,35.0,20.0,20.0,20.0,0.0,5.0,0,7.0,9.0,8.0,9.0,8.0,4.0,7.0,4.0,2,23,law,1.0,,,,4,1,1,MD,"20,878","60,304.00",1,3,1,lawyer,1.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
51,6,6,0,11,1,1,10,8,,4,2,12,0,0.37,0,22,2,60.0,0.0,0.0,40.0,0.0,0.0,0,6.0,8.0,10.0,6.0,7.0,6.0,7.0,4.0,2,23,law,1.0,,,,4,1,1,MD,"20,878","60,304.00",1,3,1,lawyer,1.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
52,6,6,0,11,1,1,10,8,,1,3,13,0,-0.51,1,22,4,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,23,law,1.0,,,,4,1,1,MD,"20,878","60,304.00",1,3,1,lawyer,1.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
53,6,6,0,11,1,1,10,8,,6,4,14,1,0.12,0,23,2,30.0,5.0,15.0,40.0,5.0,5.0,1,6.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,2,23,law,1.0,,,,4,1,1,MD,"20,878","60,304.00",1,3,1,lawyer,1.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
54,6,6,0,11,1,1,10,8,,8,5,15,0,0.35,0,24,3,30.0,10.0,20.0,10.0,10.0,20.0,1,9.0,7.0,9.0,7.0,9.0,6.0,9.0,2.0,1,23,law,1.0,,,,4,1,1,MD,"20,878","60,304.00",1,3,1,lawyer,1.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
55,6,6,0,11,1,1,10,8,,7,6,16,0,0.19,0,25,2,50.0,0.0,30.0,10.0,0.0,10.0,1,6.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,2,23,law,1.0,,,,4,1,1,MD,"20,878","60,304.00",1,3,1,lawyer,1.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
56,6,6,0,11,1,1,10,8,,2,7,17,0,0.47,0,30,2,35.0,15.0,25.0,10.0,5.0,10.0,0,5.0,6.0,8.0,4.0,5.0,4.0,3.0,3.0,2,23,law,1.0,,,,4,1,1,MD,"20,878","60,304.00",1,3,1,lawyer,1.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
57,6,6,0,11,1,1,10,8,,3,8,18,0,0.03,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6.0,7.0,8.0,7.0,8.0,5.0,7.0,6.0,2,23,law,1.0,,,,4,1,1,MD,"20,878","60,304.00",1,3,1,lawyer,1.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
58,6,6,0,11,1,1,10,8,,9,9,19,1,0.46,0,28,2,50.0,0.0,25.0,10.0,0.0,15.0,1,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,2,23,law,1.0,,,,4,1,1,MD,"20,878","60,304.00",1,3,1,lawyer,1.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
59,6,6,0,11,1,1,10,8,,10,10,20,0,0.43,0,24,2,100.0,0.0,0.0,0.0,0.0,0.0,0,7.0,10.0,10.0,6.0,10.0,7.0,6.0,7.0,2,23,law,1.0,,,,4,1,1,MD,"20,878","60,304.00",1,3,1,lawyer,1.0,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3
60,7,7,0,13,1,1,10,5,,2,1,11,0,0.19,0,27,2,35.0,20.0,20.0,20.0,0.0,5.0,0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,2,22,Law,1.0,,,,4,2,4,Southern California,"91,360","54,620.00",1,5,1,Law,1.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
61,7,7,0,13,1,1,10,5,,1,2,12,0,0.21,0,22,2,60.0,0.0,0.0,40.0,0.0,0.0,1,7.0,9.0,10.0,6.0,6.0,5.0,8.0,4.0,1,22,Law,1.0,,,,4,2,4,Southern California,"91,360","54,620.00",1,5,1,Law,1.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
62,7,7,0,13,1,1,10,5,,8,3,13,0,0.52,1,22,4,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,22,Law,1.0,,,,4,2,4,Southern California,"91,360","54,620.00",1,5,1,Law,1.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
63,7,7,0,13,1,1,10,5,,3,4,14,1,-0.46,0,23,2,30.0,5.0,15.0,40.0,5.0,5.0,1,8.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,1,22,Law,1.0,,,,4,2,4,Southern California,"91,360","54,620.00",1,5,1,Law,1.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
64,7,7,0,13,1,1,10,5,,5,5,15,0,-0.27,0,24,3,30.0,10.0,20.0,10.0,10.0,20.0,1,8.0,7.0,9.0,6.0,9.0,5.0,8.0,4.0,2,22,Law,1.0,,,,4,2,4,Southern California,"91,360","54,620.00",1,5,1,Law,1.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
65,7,7,0,13,1,1,10,5,,4,6,16,0,0.59,0,25,2,50.0,0.0,30.0,10.0,0.0,10.0,1,8.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,2,22,Law,1.0,,,,4,2,4,Southern California,"91,360","54,620.00",1,5,1,Law,1.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
66,7,7,0,13,1,1,10,5,,9,7,17,0,0.31,0,30,2,35.0,15.0,25.0,10.0,5.0,10.0,0,7.0,6.0,5.0,4.0,4.0,3.0,5.0,4.0,2,22,Law,1.0,,,,4,2,4,Southern California,"91,360","54,620.00",1,5,1,Law,1.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
67,7,7,0,13,1,1,10,5,,10,8,18,0,0.08,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,8.0,7.0,6.0,7.0,7.0,5.0,7.0,5.0,2,22,Law,1.0,,,,4,2,4,Southern California,"91,360","54,620.00",1,5,1,Law,1.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
68,7,7,0,13,1,1,10,5,,6,9,19,1,-0.34,0,28,2,50.0,0.0,25.0,10.0,0.0,15.0,1,9.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,2,22,Law,1.0,,,,4,2,4,Southern California,"91,360","54,620.00",1,5,1,Law,1.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
69,7,7,0,13,1,1,10,5,,7,10,20,0,-0.16,0,24,2,100.0,0.0,0.0,0.0,0.0,0.0,0,7.0,6.0,8.0,6.0,8.0,7.0,7.0,7.0,2,22,Law,1.0,,,,4,2,4,Southern California,"91,360","54,620.00",1,5,1,Law,1.0,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3
70,8,8,0,15,1,1,10,10,,7,1,11,0,-0.03,1,27,2,35.0,20.0,20.0,20.0,0.0,5.0,0,8.0,7.0,6.0,6.0,6.0,5.0,7.0,4.0,2,25,Masters in Public Administration,13.0,,,,2,1,1,"London, England",0,,1,5,1,Journalist,6.0,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
71,8,8,0,15,1,1,10,10,,6,2,12,1,-0.11,1,22,2,60.0,0.0,0.0,40.0,0.0,0.0,1,8.0,8.0,10.0,7.0,6.0,5.0,9.0,4.0,2,25,Masters in Public Administration,13.0,,,,2,1,1,"London, England",0,,1,5,1,Journalist,6.0,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
72,8,8,0,15,1,1,10,10,,3,3,13,1,0.42,0,22,4,19.0,18.0,19.0,18.0,14.0,12.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2,25,Masters in Public Administration,13.0,,,,2,1,1,"London, England",0,,1,5,1,Journalist,6.0,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6,10
